,elbo
501,108.68968200683594
502,92.31010437011719
503,84.85353088378906
504,101.72203063964844
505,90.09791564941406
506,94.87977600097656
507,109.73263549804688
508,103.58656311035156
509,109.63238525390625
510,114.63992309570312
511,108.69425964355469
512,86.97138977050781
513,89.03680419921875
514,98.58753967285156
515,103.52131652832031
516,137.96319580078125
517,81.70433044433594
518,102.68428039550781
519,122.67576599121094
520,107.57699584960938
521,89.62823486328125
522,94.37283325195312
523,97.63385009765625
524,91.71244812011719
525,82.4571533203125
526,113.90299987792969
527,100.9764404296875
528,69.93537902832031
529,95.39488220214844
530,98.0555419921875
531,81.31004333496094
532,121.271728515625
533,74.16604614257812
534,79.5335693359375
535,85.00666809082031
536,105.40168762207031
537,87.40721130371094
538,89.23851013183594
539,100.32923889160156
540,99.89578247070312
541,90.55329895019531
542,125.09870910644531
543,105.38093566894531
544,88.33331298828125
545,102.51829528808594
546,108.51942443847656
547,97.2950439453125
548,102.85563659667969
549,108.00984191894531
550,105.95864868164062
551,100.57743835449219
552,78.16854858398438
553,101.76754760742188
554,90.42352294921875
555,100.87092590332031
556,82.28926086425781
557,96.84947204589844
558,105.81381225585938
559,99.92036437988281
560,90.57041931152344
561,100.83294677734375
562,95.78106689453125
563,116.5377197265625
564,88.3048095703125
565,119.78199768066406
566,99.71603393554688
567,108.55027770996094
568,100.86624145507812
569,92.66876220703125
570,72.9267578125
571,100.69392395019531
572,131.5542449951172
573,84.56515502929688
574,80.520751953125
575,90.53523254394531
576,106.50668334960938
577,113.98519897460938
578,80.70819091796875
579,101.83638000488281
580,113.26835632324219
581,62.57685852050781
582,113.94375610351562
583,131.20169067382812
584,108.15524291992188
585,89.97927856445312
586,123.40467834472656
587,111.9896240234375
588,99.79249572753906
589,115.94242858886719
590,122.2305908203125
591,120.27088928222656
592,76.65805053710938
593,119.55203247070312
594,96.88313293457031
595,108.59199523925781
596,100.79029846191406
597,80.92521667480469
598,85.28543090820312
599,93.27426147460938
600,101.37861633300781
601,113.437744140625
602,119.71722412109375
603,104.84124755859375
604,69.65753173828125
605,102.69172668457031
606,97.5399169921875
607,116.56967163085938
608,82.38958740234375
609,77.24006652832031
610,114.04890441894531
611,95.61050415039062
612,91.90943908691406
613,110.7247314453125
614,85.15776062011719
615,93.31509399414062
616,101.87808227539062
617,97.8421630859375
618,97.25778198242188
619,109.58226013183594
620,106.14643859863281
621,100.35775756835938
622,81.87533569335938
623,63.77934265136719
624,110.232666015625
625,116.44766235351562
626,80.05072021484375
627,85.3336181640625
628,118.1907958984375
629,105.07783508300781
630,95.34269714355469
631,86.69586181640625
632,94.97145080566406
633,115.12985229492188
634,112.35086059570312
635,115.84375
636,114.27339172363281
637,96.71548461914062
638,113.950927734375
639,114.46510314941406
640,110.66073608398438
641,97.22212219238281
642,77.37580871582031
643,91.597412109375
644,111.33018493652344
645,93.3077392578125
646,118.8812255859375
647,96.04032897949219
648,105.71293640136719
649,118.31869506835938
650,55.14674377441406
651,113.3170166015625
652,89.33367919921875
653,114.04716491699219
654,99.15347290039062
655,108.77610778808594
656,116.19206237792969
657,127.62751770019531
658,116.53829956054688
659,96.45111083984375
660,103.31900024414062
661,101.53959655761719
662,94.25645446777344
663,105.04966735839844
664,108.52693176269531
665,84.457275390625
666,115.88140869140625
